,MO,SLAT,SLON,MAG
74,9,27.73,-82.75,0
75,8,26.48,-97.78,0
76,8,26.25,-97.77,0
77,9,29.28,-96.9,0
78,9,29.17,-97.2,1
79,8,26.18,-97.7,0
80,9,27.87,-97.68,0
81,9,28.25,-82.72,0
82,5,28.72,-96.77,0
83,11,28.07,-82.75,0
84,11,27.77,-98.07,0
85,5,29.4,-95.83,0
86,5,26.85,-97.8,0
87,12,26.18,-97.7,0
88,5,29.0,-95.32,0
89,5,29.37,-95.08,0
90,1,27.53,-82.73,0
91,7,28.1,-97.6,0
92,2,29.3,-94.82,0
93,10,29.25,-90.22,1
94,3,29.4,-95.83,0
95,10,29.31,-94.8,0
96,3,28.52,-96.48,0
97,3,28.45,-96.42,0
98,4,25.97,-97.47,1
99,4,26.15,-97.38,0
100,4,29.3,-96.08,0
101,4,27.48,-82.72,0
102,4,27.43,-82.7,0
103,5,27.8,-98.03,0
104,5,28.12,-97.97,0
105,6,27.8,-97.8,1
106,6,28.98,-96.65,0
107,6,29.2,-96.28,0
108,10,27.87,-82.85,1
109,10,28.02,-82.83,0
110,11,29.0,-95.32,0
111,1,28.78,-96.67,0
112,2,29.38,-98.12,0
113,2,29.4,-97.97,0
114,2,29.35,-95.45,0
115,2,29.18,-94.97,0
116,3,29.27,-97.6,0
117,7,27.83,-82.73,0
118,9,28.83,-95.65,0
119,9,29.3,-94.82,0
120,9,27.78,-97.42,0
121,9,28.37,-82.7,0
122,10,29.17,-95.37,0
123,10,28.72,-96.82,0
124,11,26.08,-97.47,0
125,1,29.23,-97.93,0
126,1,29.4,-97.72,0
127,3,29.08,-95.33,0
128,4,26.35,-97.62,0
129,4,26.32,-97.67,0
130,5,29.38,-96.78,1
131,6,29.4,-94.9,0
132,6,28.17,-82.73,0
133,7,29.4,-94.9,1
134,7,27.9,-82.78,0
135,8,28.02,-97.05,0
136,8,27.52,-97.87,0
137,8,27.75,-98.08,0
138,8,26.17,-97.98,0
139,8,26.18,-97.95,0
140,3,26.63,-97.8,0
141,5,29.35,-95.45,0
142,5,26.23,-97.52,0
143,7,29.25,-82.73,0
144,7,29.38,-89.6,0
145,8,28.1,-82.78,0
146,10,27.82,-97.67,0
147,10,28.8,-97.03,0
148,11,29.28,-97.4,0
149,11,29.38,-97.23,0
150,11,29.33,-89.42,1
151,10,28.55,-96.55,1
152,12,27.67,-97.67,0
153,10,28.66,-96.45,0
154,5,28.62,-96.63,0
155,10,29.35,-95.02,0
156,5,29.13,-98.08,0
157,10,29.37,-95.88,0
158,5,28.7,-95.95,0
159,11,29.38,-89.53,1
160,3,28.44,-97.53,0
161,5,26.08,-97.55,0
162,6,26.5,-97.65,0
163,3,29.39,-96.95,1
164,7,27.67,-82.72,0
165,3,29.39,-96.88,2
166,8,29.07,-95.57,0
167,4,29.0,-95.27,0
168,9,26.45,-97.83,0
169,7,29.26,-94.94,0
170,9,26.3,-97.92,0
171,7,29.37,-95.08,0
172,9,26.25,-97.83,0
173,7,27.73,-97.45,0
174,9,26.18,-97.7,0
175,7,29.13,-83.05,0
176,9,26.23,-97.67,0
177,7,28.03,-97.37,0
178,9,26.2,-97.72,0
179,10,29.35,-89.53,0
180,8,27.74,-97.96,0
181,9,26.15,-97.92,0
182,9,28.73,-97.38,0
183,1,26.88,-98.12,2
184,5,27.93,-82.82,2
185,6,27.82,-82.7,0
186,6,27.82,-82.83,1
187,7,26.25,-97.73,1
188,7,27.77,-97.42,0
189,8,27.73,-97.83,0
190,10,27.83,-97.07,2
191,12,29.2,-96.03,2
192,4,28.95,-96.08,1
193,5,29.28,-96.88,1
194,8,27.75,-82.75,1
195,10,28.65,-96.9,1
196,10,28.15,-97.43,3
197,3,29.37,-97.65,1
198,5,27.78,-97.67,1
199,5,27.78,-97.67,0
200,5,28.7,-96.23,2
201,5,28.82,-98.12,0
202,5,29.32,-96.08,2
203,6,28.62,-96.63,1
204,6,27.78,-97.67,0
205,8,29.4,-96.08,1
206,2,29.17,-95.43,0
207,3,27.42,-98.08,0
208,6,27.75,-98.08,0
209,6,28.03,-97.52,1
210,9,28.0,-97.53,0
211,10,27.64,-97.8,1
212,10,28.45,-98.1,2
213,11,28.17,-97.42,3
214,11,28.25,-97.3,0
215,11,28.72,-96.02,0
216,2,26.2,-97.78,0
217,3,28.7,-98.0,0
218,3,29.4,-94.92,2
219,3,28.87,-96.22,1
220,3,29.33,-89.4,1
221,4,26.48,-97.8,1
222,5,27.9,-98.08,0
223,11,28.95,-92.5,2
224,1,28.25,-82.73,1
225,5,28.68,-97.85,0
226,5,28.1,-98.1,2
227,5,28.12,-98.12,2
228,11,28.65,-97.47,1
229,6,29.35,-94.9,0
230,5,29.38,-94.77,3
231,9,29.4,-94.9,0
232,3,28.4,-97.75,1
233,3,27.75,-82.77,1
234,5,29.02,-96.63,0
235,9,29.4,-94.9,0
236,5,27.63,-97.98,0
237,6,29.3,-96.1,2
238,7,26.33,-97.77,0
239,9,27.3,-97.75,1
240,7,28.9,-97.95,1
241,7,28.33,-98.1,2
242,9,27.95,-97.93,1
243,8,29.03,-95.2,0
244,7,27.78,-97.67,0
245,9,29.25,-89.33,0
246,8,29.07,-96.33,0
247,9,28.93,-96.2,0
248,7,28.83,-95.93,0
249,1,27.92,-82.83,0
250,8,27.8,-82.75,1
251,3,28.95,-95.95,1
252,9,27.65,-98.08,1
253,3,29.33,-96.78,1
254,10,29.37,-90.23,1
255,3,29.33,-96.08,2
256,3,29.35,-89.53,2
257,3,28.95,-96.08,1
258,3,27.72,-97.85,1
259,4,27.77,-97.38,1
260,4,27.62,-97.32,0
261,10,27.73,-97.43,1
262,5,27.83,-97.23,2
263,5,28.3,-97.27,2
264,5,26.07,-97.42,0
265,11,28.08,-97.33,0
266,5,28.62,-96.62,2
267,5,28.82,-97.72,0
268,5,28.85,-96.62,1
269,5,29.27,-97.77,2
270,5,29.27,-97.72,1
271,5,29.27,-97.77,0
272,6,27.23,-97.73,3
273,3,27.58,-82.77,0
274,5,28.8,-97.0,1
275,8,28.32,-98.03,0
276,5,29.4,-95.23,1
277,10,28.9,-97.9,1
278,5,29.27,-96.7,1
279,10,28.9,-97.9,1
280,5,29.27,-96.7,1
281,2,28.97,-96.67,3
282,5,29.27,-96.7,1
283,6,27.65,-97.28,1
284,4,29.3,-96.1,2
285,4,27.78,-97.42,1
286,4,29.07,-95.45,3
287,6,29.13,-96.22,1
288,4,28.82,-97.87,3
289,7,28.67,-96.58,1
290,4,28.22,-82.72,1
291,7,29.12,-97.18,0
292,4,28.05,-82.67,1
293,9,28.32,-96.48,0
294,5,29.3,-89.4,1
295,9,28.7,-96.67,0
296,6,29.25,-97.22,0
297,6,27.92,-82.75,1
298,9,28.7,-96.67,0
299,8,28.05,-82.67,0
300,10,28.62,-96.77,2
301,9,27.97,-82.8,0
302,11,28.4,-97.75,0
303,5,28.1,-97.52,1
304,11,25.78,-83.33,0
305,11,28.88,-97.93,0
306,5,27.93,-97.37,1
307,11,29.27,-89.95,1
308,11,28.88,-98.07,1
309,11,29.4,-90.28,1
310,5,28.97,-98.03,2
311,11,28.33,-98.12,1
312,8,27.75,-98.08,0
313,3,27.77,-82.78,1
314,11,28.4,-97.75,0
315,4,28.02,-96.95,0
316,8,27.75,-98.12,1
317,6,28.0,-82.83,0
318,8,26.13,-97.58,1
319,11,28.4,-97.75,1
320,6,29.03,-95.23,1
321,8,26.08,-97.58,1
322,11,28.55,-97.9,1
323,8,27.8,-97.43,1
324,6,28.17,-96.98,1
325,9,28.82,-97.82,0
326,11,28.67,-97.38,1
327,6,29.15,-96.33,1
328,9,26.92,-97.28,0
329,11,28.67,-97.38,0
330,9,29.4,-96.08,0
331,6,28.55,-96.82,1
332,10,28.9,-97.7,2
333,9,28.82,-96.97,1
334,12,29.0,-95.65,1
335,6,27.75,-97.42,0
336,10,27.98,-97.52,2
337,9,28.42,-96.75,2
338,10,27.87,-97.58,1
339,10,27.77,-97.43,2
340,10,28.77,-96.98,1
341,12,29.05,-95.58,0
342,3,29.4,-95.98,0
343,3,29.32,-96.1,0
344,3,29.35,-95.78,0
345,5,26.5,-97.92,0
346,2,27.67,-97.28,0
347,5,26.17,-97.98,0
348,6,27.95,-97.5,0
349,9,28.67,-97.42,0
350,5,26.23,-97.52,0
351,6,29.3,-95.27,1
352,9,28.67,-97.42,0
353,6,26.78,-97.6,0
354,9,28.67,-97.42,0
355,9,28.67,-97.42,0
356,8,26.07,-97.37,0
357,4,27.8,-97.45,2
358,9,28.67,-97.42,0
359,8,27.58,-97.18,0
360,9,28.67,-97.42,0
361,8,27.62,-97.38,0
362,9,28.58,-96.62,1
363,8,27.55,-97.7,0
364,9,28.7,-96.22,3
365,10,27.92,-82.92,2
366,9,28.83,-96.5,1
367,9,28.78,-96.33,1
368,4,29.02,-96.5,0
369,4,29.05,-96.52,1
370,9,29.35,-95.92,1
371,5,28.25,-82.72,0
372,9,27.47,-97.78,0
373,5,28.22,-82.72,0
374,9,28.95,-96.75,1
375,6,27.73,-97.67,0
376,7,27.78,-97.95,0
377,9,29.3,-96.1,1
378,8,29.4,-94.8,1
379,9,28.88,-96.8,0
380,9,29.33,-95.43,0
381,9,28.88,-96.8,0
382,9,27.63,-97.33,0
383,9,28.88,-96.8,0
384,9,28.93,-96.2,0
385,5,29.05,-96.52,1
386,9,27.58,-97.47,1
387,9,28.85,-96.33,0
388,9,27.32,-97.48,0
389,1,29.37,-94.97,1
390,9,28.72,-96.18,1
391,2,28.22,-82.72,1
392,9,28.93,-96.2,0
393,4,29.37,-97.27,0
394,9,29.12,-96.4,1
395,5,28.97,-96.98,0
396,9,29.07,-96.52,3
397,5,27.92,-82.8,1
398,9,29.15,-95.43,2
399,6,26.07,-97.2,0
400,9,28.95,-96.07,0
401,6,26.23,-97.58,0
402,9,28.85,-96.67,1
403,6,28.83,-95.65,0
404,9,29.37,-96.28,1
405,6,28.95,-95.33,0
406,9,28.85,-96.53,1
407,7,25.95,-97.5,0
408,8,28.7,-96.15,0
409,9,28.85,-96.53,1
410,5,28.6,-96.98,0
411,6,28.7,-96.98,0
412,6,27.58,-97.8,1
413,8,28.7,-96.8,0
414,6,27.67,-97.25,2
415,9,28.85,-96.53,1
416,8,28.65,-96.88,0
417,9,29.1,-97.28,0
418,8,27.77,-82.67,0
419,9,28.42,-97.88,1
420,9,28.2,-97.75,0
421,9,28.88,-96.58,1
422,6,29.32,-94.78,3
423,9,28.85,-97.08,0
424,9,28.83,-97.92,1
425,9,29.35,-97.32,1
426,9,27.78,-82.72,0
427,10,28.85,-96.87,0
428,9,29.35,-97.32,1
429,12,29.02,-96.5,3
430,9,29.35,-97.07,3
431,1,27.77,-82.67,0
432,9,29.37,-97.95,0
433,3,29.37,-95.27,1
434,4,27.8,-82.8,0
435,4,28.7,-97.27,0
436,7,29.3,-94.82,1
437,4,27.67,-97.28,1
438,9,29.0,-95.9,2
439,9,29.32,-94.78,4
440,9,29.27,-94.87,3
441,11,28.62,-96.62,2
442,11,29.28,-89.33,1
443,11,29.4,-96.08,3
444,4,28.75,-97.0,1
445,4,29.4,-94.77,1
446,6,28.4,-97.73,1
447,6,28.4,-97.73,0
448,6,27.65,-98.08,2
449,9,27.87,-97.85,0
450,9,28.13,-97.2,0
451,9,28.17,-97.47,0
452,9,27.58,-97.78,0
453,9,27.73,-97.77,0
454,9,28.17,-92.38,0
455,9,27.33,-98.07,0
456,9,27.53,-97.92,0
457,9,28.0,-97.35,0
458,9,28.27,-97.67,1
459,9,27.68,-97.35,0
460,9,27.85,-97.75,0
461,9,27.38,-97.78,0
462,9,28.45,-96.58,1
463,10,29.15,-95.08,2
464,10,29.35,-89.53,2
465,12,27.9,-82.78,2
466,1,28.02,-82.77,1
467,5,27.8,-97.4,0
468,5,28.63,-96.88,0
469,5,28.62,-96.83,0
470,5,27.6,-97.48,0
471,5,27.7,-97.6,2
472,4,27.58,-97.8,2
473,4,28.25,-97.68,3
474,5,27.77,-97.42,1
475,5,27.63,-97.32,1
476,5,27.97,-97.93,2
477,5,27.62,-97.28,1
478,5,27.85,-97.58,0
479,5,27.92,-97.08,1
480,5,28.87,-96.85,1
481,5,29.37,-94.83,0
482,9,28.07,-97.22,0
483,5,29.4,-95.17,0
484,9,27.9,-97.14,1
485,5,27.75,-82.77,1
486,5,29.4,-95.2,1
487,6,27.65,-98.08,1
488,6,26.48,-97.75,0
489,6,27.65,-98.08,0
490,5,27.95,-97.68,2
491,9,27.84,-97.06,0
492,6,29.37,-94.97,0
493,6,26.0,-97.15,0
494,6,29.37,-89.42,1
495,11,26.39,-97.77,0
496,6,26.47,-97.78,2
497,6,29.4,-94.9,0
498,6,27.53,-97.9,1
499,2,29.37,-94.99,0
500,6,26.13,-97.78,1
501,6,27.75,-97.83,0
502,6,27.93,-98.03,1
503,6,29.18,-96.27,1
504,6,27.8,-97.9,0
505,7,27.9,-98.07,0
506,3,27.73,-97.38,1
507,7,27.83,-82.72,0
508,3,28.02,-97.65,0
509,8,28.08,-97.82,2
510,7,27.65,-97.27,1
511,6,29.18,-96.27,1
512,8,27.9,-97.77,1
513,3,27.97,-97.64,0
514,7,27.23,-98.12,1
515,9,27.93,-97.33,1
516,6,29.18,-96.27,1
517,9,28.7,-96.22,1
518,7,27.7,-97.28,0
519,3,27.69,-97.38,0
520,5,27.73,-82.75,1
521,7,27.88,-97.22,1
522,7,27.55,-84.3,0
523,6,28.23,-97.67,2
524,6,29.03,-96.71,0
525,7,27.87,-97.33,1
526,7,27.97,-82.8,1
527,7,27.28,-98.1,1
528,7,28.02,-97.22,0
529,7,27.95,-82.83,1
530,8,26.23,-97.5,0
531,8,29.23,-95.23,0
532,8,27.8,-82.78,2
533,9,29.05,-95.45,0
534,8,27.9,-82.8,2
535,9,27.78,-97.45,1
536,8,29.4,-94.92,1
537,9,28.35,-97.75,2
538,10,27.97,-97.4,1
539,10,28.1,-97.83,0
540,11,28.8,-97.0,3
541,11,27.75,-82.75,1
542,2,29.37,-95.1,1
543,9,28.95,-97.52,0
544,9,28.7,-97.08,1
545,4,28.75,-97.08,1
546,9,28.07,-97.05,3
547,4,28.95,-97.3,2
548,9,29.05,-96.52,1
549,9,29.25,-95.9,1
550,4,28.83,-95.92,0
551,9,27.77,-98.1,1
552,4,28.88,-95.95,0
553,9,27.77,-98.1,1
554,4,28.8,-95.65,3
555,9,29.05,-95.7,0
556,9,28.83,-97.23,0
557,5,27.78,-97.83,2
558,9,28.53,-97.62,0
559,5,26.22,-97.68,3
560,9,28.88,-97.83,1
561,5,25.88,-97.48,2
562,9,28.05,-97.52,0
563,5,26.1,-97.6,3
564,9,29.08,-98.0,0
565,9,28.57,-97.63,1
566,5,26.08,-97.22,1
567,9,27.72,-97.48,2
568,5,28.7,-96.27,0
569,9,27.93,-98.08,2
570,5,28.97,-97.52,1
571,9,27.75,-98.08,0
572,5,28.03,-97.83,3
573,7,29.27,-89.93,1
574,7,28.33,-97.47,1
575,9,28.65,-97.9,1
576,8,29.38,-95.15,0
577,10,27.77,-97.67,0
578,7,28.0,-97.31,0
579,10,28.77,-96.55,1
580,8,29.35,-95.0,0
581,7,27.48,-98.1,0
582,2,27.77,-82.77,0
583,8,29.35,-95.05,0
584,7,26.06,-97.59,0
585,2,27.92,-82.75,0
586,8,29.2,-96.28,0
587,7,29.02,-98.04,0
588,10,27.77,-97.67,0
589,2,27.77,-82.67,0
590,8,29.28,-95.75,0
591,8,26.37,-97.78,0
592,10,27.77,-97.67,0
593,2,29.28,-95.43,1
594,10,29.37,-94.38,1
595,9,27.45,-97.28,0
596,11,26.08,-97.25,0
597,10,29.37,-94.38,1
598,11,25.95,-97.45,0
599,4,28.1724,-82.7099,1
600,2,29.05,-95.57,0
601,11,27.97,-97.38,1
602,11,25.98,-97.55,0
603,5,26.1,-97.2,0
604,4,27.78,-97.47,0
605,4,29.2887,-94.983,0
606,11,29.33,-95.02,0
607,4,27.78,-97.42,0
608,4,29.0178,-97.5306,0
609,5,27.7,-97.67,0
610,4,29.0166,-97.5304,0
611,11,29.33,-95.02,0
612,4,28.83,-95.95,0
613,5,27.9689,-82.7803,0
614,5,26.5,-97.77,2
615,12,29.32,-94.78,0
616,4,28.98,-96.0,1
617,5,27.6749,-98.0683,1
618,2,29.35,-95.02,0
619,6,27.9626,-97.8002,0
620,4,29.03,-95.88,1
621,3,28.8,-96.98,0
622,8,27.9832,-97.1492,0
623,5,29.3,-94.82,0
624,5,27.3,-97.8,1
625,5,28.98,-96.5,0
626,5,26.18,-97.82,0
627,8,29.2855,-94.7944,1
628,6,26.12,-97.63,1
629,6,27.57,-97.78,3
630,6,27.77,-97.4,0
631,7,29.4,-95.0,1
632,8,29.3,-97.2,0
633,8,28.4,-96.4,2
634,9,29.32,-94.77,0
635,5,26.23,-97.62,0
636,7,27.9,-97.25,0
637,5,27.9,-97.53,1
638,8,28.27,-97.22,0
639,9,26.46,-97.62,0
640,12,28.83,-95.65,1
641,7,27.67,-97.75,1
642,10,29.0587,-96.6232,0
643,3,27.92,-82.8,1
644,8,28.1,-97.9,2
645,5,28.3,-97.3,0
646,7,29.08,-96.08,0
647,4,27.5211,-97.9681,0
648,8,29.25,-90.0,1
649,5,28.35,-97.17,1
650,8,27.9,-82.75,1
651,5,26.07,-97.22,0
652,8,28.25,-82.72,1
653,5,27.78,-97.42,0
654,5,28.0708,-98.0175,0
655,8,27.78,-97.42,0
656,8,29.27,-97.18,1
657,6,28.151,-97.7433,1
658,2,28.37,-82.7,0
659,8,27.78,-97.9,0
660,6,27.83,-97.07,1
661,3,29.35,-89.53,0
662,6,27.6343,-97.4542,0
663,8,26.27,-97.6,0
664,6,28.98,-96.65,1
665,9,27.58,-97.17,0
666,6,27.98,-82.83,1
667,5,28.8,-97.43,0
668,6,28.1846,-97.2825,0
669,6,28.0499,-97.1254,2
670,5,28.97,-97.05,0
671,9,28.98,-95.95,1
672,7,28.78,-96.98,0
673,5,27.77,-82.67,0
674,6,29.3837,-96.1788,0
675,4,26.03,-97.18,1
676,7,28.02,-82.78,2
677,6,28.83,-95.8209,0
678,6,26.0759,-97.2105,0
679,6,27.87,-82.85,0
680,4,28.7,-96.13,0
681,7,27.97,-82.8,1
682,6,25.977,-97.5904,0
683,4,26.08,-97.68,1
684,6,27.77,-82.67,0
685,7,27.77,-82.7,0
686,6,28.25,-82.72,0
687,8,27.47,-82.7,0
688,6,28.3285,-97.0204,0
689,8,29.28,-83.12,0
690,6,26.5524,-97.78,0
691,7,29.38,-94.88,0
692,7,27.83,-82.78,0
693,6,27.8278,-97.796,0
694,9,28.27,-97.7,1
695,7,28.53,-96.85,0
696,10,26.2,-97.72,0
697,9,28.75,-96.07,0
698,7,27.97,-82.8,0
699,11,27.68,-97.92,0
700,6,28.1654,-97.203,0
701,11,29.4,-90.7,1
702,8,27.8,-97.68,0
703,11,29.18,-96.32,1
704,8,28.03,-97.58,0
705,6,28.1384,-96.9792,0
706,1,28.25,-82.72,0
707,1,28.37,-82.7,0
708,11,29.4,-90.78,1
709,8,27.98,-97.93,1
710,7,28.0003,-97.0694,0
711,6,27.82,-82.72,0
712,9,27.88,-82.8,0
713,7,27.6286,-98.0484,0
714,4,29.03,-96.5,1
715,7,27.83,-82.72,0
716,4,29.3,-97.3,1
717,8,25.9911,-97.2599,0
718,10,27.88,-82.8,2
719,9,28.2358,-97.3205,0
720,10,27.92,-82.75,1
721,7,27.73,-82.75,0
722,5,29.33,-83.15,0
723,1,27.7107,-97.9663,1
724,5,27.92,-82.7,3
725,10,27.83,-82.7,3
726,7,27.77,-82.67,0
727,8,27.77,-82.67,0
728,6,27.83,-82.78,0
729,11,29.23,-96.2,1
730,11,29.32,-96.25,1
731,9,27.77,-82.67,0
732,6,27.83,-82.78,0
733,3,27.8716,-82.8509,1
734,9,26.17,-98.05,0
735,7,28.25,-82.72,0
736,3,27.8983,-82.6935,1
737,11,29.4,-96.17,1
738,5,29.2061,-90.0433,0
739,11,29.38,-96.18,1
740,9,26.3,-97.98,0
741,5,29.35,-89.53,0
742,7,28.45,-82.7,0
743,8,28.574,-96.565,0
744,7,29.35,-95.03,1
745,11,29.3,-96.28,1
746,9,25.92,-97.5,0
747,9,27.8685,-97.9442,1
748,7,28.53,-98.12,1
749,11,29.3,-96.13,1
750,1,29.3492,-95.5771,0
751,9,26.18,-97.7,0
752,9,26.18,-97.7,1
753,1,29.2654,-95.44,0
754,7,27.88,-97.32,0
755,11,29.4,-94.9,0
756,8,27.67,-97.8,0
757,1,27.77,-82.67,0
758,9,28.75,-97.38,0
759,1,29.2827,-95.4356,0
760,9,27.78,-97.42,0
761,1,29.3038,-89.3808,0
762,8,27.85,-97.58,0
763,3,27.77,-82.77,0
764,3,28.881,-97.7177,0
765,9,28.02,-97.15,0
766,3,28.25,-82.72,0
767,9,27.7,-97.27,1
768,3,28.72,-96.18,1
769,9,28.62,-97.8,1
770,10,29.38,-95.13,1
771,3,26.5939,-97.6976,0
772,9,28.88,-97.97,0
773,1,29.23,-96.42,1
774,4,27.52,-97.87,1
775,4,27.8748,-97.3063,1
776,5,27.98,-82.7,0
777,4,29.2,-90.17,2
778,4,27.92,-97.26,0
779,11,27.77,-82.67,0
780,4,27.92,-97.23,0
781,5,27.97,-82.8,0
782,11,27.77,-82.67,0
783,4,29.05,-95.58,1
784,5,28.02,-82.78,1
785,4,27.294,-97.705,0
786,12,27.77,-82.77,0
787,5,28.92,-97.28,0
788,1,28.87,-95.43,0
789,5,28.2,-82.75,1
790,5,28.92,-97.32,0
791,4,27.2504,-97.7776,0
792,1,28.95,-95.35,0
793,8,29.4,-94.95,0
794,4,26.4561,-97.7806,0
795,5,28.65,-96.88,0
796,5,28.25,-82.72,0
797,4,26.1202,-97.733,0
798,9,28.07,-82.67,1
799,5,28.55,-97.0,0
800,6,28.25,-82.72,1
801,9,29.2,-95.45,1
802,6,28.02,-97.05,0
803,5,27.7364,-97.3628,0
804,10,27.83,-82.78,0
805,6,29.32,-82.78,1
806,3,29.17,-91.1,0
807,8,27.77,-82.77,0
808,5,29.2206,-90.0237,1
809,6,27.92,-82.8,1
810,10,29.3,-94.82,0
811,6,27.77,-82.67,0
812,5,27.4215,-97.9125,0
813,5,28.42,-97.8,1
814,6,29.03,-96.67,1
815,5,29.1098,-97.912,0
816,10,29.3,-94.82,0
817,7,27.73,-82.75,1
818,5,28.647,-98.099,0
819,11,25.92,-97.42,0
820,8,27.77,-82.67,0
821,6,29.0,-96.6,1
822,5,28.6193,-98.035,0
823,3,29.4,-90.28,0
824,8,27.77,-82.67,1
825,8,25.97,-97.55,2
826,5,28.65,-98.0247,0
827,5,28.45,-96.45,0
828,8,27.43,-82.68,0
829,8,27.13,-97.8,0
830,5,29.37,-90.6,0
831,6,27.77,-82.67,0
832,8,27.53,-82.73,0
833,8,28.43,-97.83,0
834,5,28.6756,-98.022,0
835,8,27.83,-97.07,1
836,5,28.0908,-98.0255,0
837,7,28.25,-82.72,0
838,2,28.28,-97.68,0
839,8,28.78,-97.88,1
840,2,28.4,-97.75,1
841,5,27.7528,-97.4795,0
842,7,28.2,-82.72,0
843,5,29.28,-94.85,0
844,8,27.87,-97.33,2
845,7,28.42,-82.75,0
846,5,28.0014,-97.4671,1
847,5,29.38,-96.78,2
848,5,28.1392,-97.2858,0
849,8,27.58,-97.8,2
850,8,27.98,-82.7,0
851,1,29.32,-96.1,1
852,8,27.58,-97.8,2
853,5,28.1961,-97.0014,0
854,5,27.97,-97.93,1
855,1,29.4,-96.08,0
856,8,28.93,-96.98,1
857,5,26.1367,-97.6165,0
858,5,29.4,-94.9,0
859,1,29.22,-96.03,0
860,5,29.0348,-82.7569,0
861,6,27.78,-97.42,0
862,8,27.75,-98.08,2
863,7,28.08,-82.78,0
864,8,27.77,-97.62,1
865,1,29.32,-96.02,0
866,8,28.13,-97.87,1
867,1,28.98,-95.95,0
868,8,27.78,-97.77,0
869,8,27.52,-97.9,0
870,1,28.98,-95.95,0
871,8,26.18,-97.57,0
872,8,29.4,-94.9,1
873,1,29.05,-95.45,0
874,8,28.37,-97.77,0
875,9,28.98,-95.32,0
876,8,28.37,-97.77,0
877,8,28.37,-97.77,0
878,9,27.78,-97.57,0
879,9,29.38,-94.78,1
880,1,27.75,-82.72,0
881,8,26.87,-98.13,1
882,10,28.98,-96.65,0
883,2,29.27,-97.63,2
884,5,28.2,-97.68,0
885,8,27.33,-97.73,0
886,10,29.08,-97.88,0
887,5,28.82,-96.13,1
888,3,27.87,-97.33,0
889,9,28.63,-96.65,0
890,10,29.1,-97.93,0
891,6,29.13,-95.7,0
892,4,27.92,-82.8,0
893,9,26.42,-97.82,1
894,10,28.65,-96.82,0
895,6,29.25,-94.85,2
896,4,27.87,-82.85,1
897,10,28.8,-96.28,1
898,10,28.83,-96.47,0
899,6,28.03,-82.67,0
900,4,29.25,-90.0,1
901,10,29.35,-94.88,2
902,3,29.4,-96.25,1
903,10,29.3,-96.1,0
904,6,27.5,-97.67,0
905,4,26.18,-97.72,0
906,10,29.3,-96.0,2
907,4,28.45,-96.42,0
908,7,27.83,-82.75,0
909,10,29.3,-95.9,2
910,5,29.32,-97.15,1
911,4,28.7,-96.35,0
912,8,28.2,-97.25,0
913,12,29.0,-89.17,1
914,3,28.37,-82.72,1
915,5,27.52,-97.4,0
916,8,27.88,-97.58,0
917,3,29.33,-94.83,2
918,8,27.67,-97.37,0
919,5,27.92,-97.8,1
920,8,27.9,-97.13,1
921,6,29.35,-94.9,0
922,8,28.48,-98.12,1
923,8,28.43,-97.82,1
